"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
296,1.17618,90.5,154,"2026-03-28_YIUCB",4.30440771349862,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.587400561,-79.754263433,2.57062,8.92,232,13,13.9392
297,1.18089,89.5,154,"2026-03-28_YIUCB",4.29331959471063,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.587357897,-79.75426821,2.47577,8.92,232,13,13.9752
298,1.1849,89,154,"2026-03-28_YIUCB",4.27350427350427,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.587323615,-79.754268713,1.89097,9.1,234,13,14.04
299,1.18948,89,154,"2026-03-28_YIUCB",4.25278557455133,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.587280448,-79.754279442,1.89097,9.13,233,13,14.1084
300,1.19354,88.5,155,"2026-03-28_YIUCB",4.25278557455133,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.2,43.587248262,-79.754281286,2.38358,9.13,233,13,14.1084
301,1.19793,88.5,155,"2026-03-28_YIUCB",4.2322668020992,535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.2,43.587208113,-79.754300564,1.94785,9.14,233,13,14.1768
302,1.20206,88.5,156,"2026-03-28_YIUCB",4.2322668020992,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.4,43.58717492,-79.754309952,2.43212,9.14,233,13,14.1768
303,1.2063,89,156,"2026-03-28_YIUCB",4.21300977418268,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.4,43.587136112,-79.754329733,1.87656,9.17,232,13,14.2416
304,1.21021,89.5,156,"2026-03-28_YIUCB",4.20238695579089,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.2,43.587104428,-79.754334679,1.36505,9,230,13,14.2776
305,1.21459,89.5,156,"2026-03-28_YIUCB",4.20238695579089,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.2,43.587062938,-79.754351526,0.889992,9,230,13,14.2776
306,1.21868,89.5,156,"2026-03-28_YIUCB",4.19287211740042,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.587030416,-79.754354041,0.400994,9,230,13,14.31
307,1.22287,89,156,"2026-03-28_YIUCB",4.18340026773762,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.586989764,-79.754365776,-0.0236342,9.21,231,13,14.3424
308,1.22678,89,156,"2026-03-28_YIUCB",4.18340026773762,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,43.586957158,-79.75436938,-0.0236342,9.21,231,13,14.3424
309,1.23126,89,156,"2026-03-28_YIUCB",4.17292605575029,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586914662,-79.754378097,-0.470063,9.21,231,13,14.3784
310,1.23523,88.5,156,"2026-03-28_YIUCB",4.17292605575029,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.58688214,-79.75438036,-0.962674,9.21,231,13,14.3784
311,1.23954,88.5,156,"2026-03-28_YIUCB",4.15420405450316,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586840734,-79.754388407,-0.962674,9.21,231,13,14.4432
