"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
40,0.0425532,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
41,0.043617,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
42,0.0446809,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
43,0.0457447,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
44,0.0468085,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
45,0.0478723,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
46,0.0489362,28.5643,121,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
47,0.05,28.5643,120,"2026-03-14_MFXAB",1.61040104353988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72578
48,0.05,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
49,0.0510417,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
50,0.0520833,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
51,0.053125,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
52,0.0541667,29.313,120,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
53,0.0552083,29.313,120,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
54,0.05625,29.313,120,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
55,0.0572917,29.313,120,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
56,0.0583333,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
57,0.059375,29.313,120,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
58,0.0604167,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
59,0.0614583,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
60,0.0625,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
61,0.0635417,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
62,0.0645833,29.313,121,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
63,0.065625,29.313,122,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
64,0.0666667,29.313,122,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
65,0.0677083,29.313,122,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
66,0.06875,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
67,0.0697917,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
68,0.0708333,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
69,0.071875,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
70,0.0729167,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
71,0.0739583,29.313,122,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
72,0.075,29.313,122,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
73,0.0760417,29.313,122,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
74,0.0770833,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
